x_m,y_m
119.799809,67.269293
119.799809,66.891376
119.421891,66.513458
119.043974,66.135541
118.666057,65.757624
118.666057,65.379706
118.288139,65.001789
117.910222,64.623872
117.910222,64.245954
117.532304,63.868037
117.154387,63.490119
116.776470,63.112202
116.398552,62.734285
116.398552,62.356367
116.020635,61.978450
115.642718,61.600533
115.264800,61.222615
114.886883,60.844698
114.886883,60.466780
114.508965,60.088863
114.131048,59.710946
113.753131,59.333028
113.375213,58.955111
112.997296,58.577194
112.997296,58.199276
112.619378,57.821359
112.241461,57.443441
112.241461,57.065524
111.863544,56.687607
111.485626,56.309689
111.107709,55.931772
110.729792,55.553854
110.351874,55.175937
109.973957,54.798020
109.596039,54.420102
109.218122,54.042185
108.840205,53.664268
108.462287,53.286350
108.084370,52.908433
108.084370,52.530515
107.706453,52.152598
107.328535,51.774681
106.950618,51.396763
106.572700,51.018846
106.194783,50.640929
105.816866,50.263011
105.438948,49.885094
105.061031,49.507176
105.061031,49.129259
104.683114,48.751342
104.305196,48.373424
103.927279,47.995507
103.549361,47.617590
103.171444,47.239672
102.793527,46.861755
102.415609,46.861755
102.037692,46.483837
101.659775,46.105920
101.281857,45.728003
100.903940,45.728003
100.526022,45.350085
100.148105,45.350085
99.770188,44.972168
99.392270,44.972168
99.014353,44.594251
98.636436,44.216333
98.258518,44.216333
97.880601,43.838416
97.502683,43.838416
97.124766,43.460498
96.746849,43.460498
96.368931,43.082581
95.991014,42.704664
95.613097,42.704664
95.235179,42.326746
94.857262,42.326746
94.479344,41.948829
94.101427,41.570912
93.723510,41.192994
93.345592,41.192994
92.967675,40.815077
92.589757,40.437159
92.211840,40.437159
91.833923,40.059242
91.456005,40.059242
91.078088,39.681325
90.700171,39.681325
90.322253,39.303407
89.944336,39.303407
89.566418,38.925490
89.188501,38.925490
88.810584,38.547573
88.432666,38.547573
88.054749,38.169655
87.676832,38.169655
87.298914,38.169655
86.920997,37.791738
86.543079,37.791738
86.165162,37.413820
85.787245,37.413820
85.409327,37.413820
85.031410,37.035903
84.653493,37.035903
84.275575,37.035903
83.897658,37.035903
83.519740,37.035903
83.141823,36.657986
82.763906,36.657986
82.385988,36.657986
82.008071,36.657986
81.630154,36.280068
81.252236,36.280068
80.874319,36.280068
80.496401,36.280068
80.118484,35.902151
79.740567,35.902151
79.362649,35.902151
78.984732,35.524233
78.606815,35.524233
78.228897,35.146316
77.850980,35.146316
77.473062,35.146316
77.095145,34.768399
76.717228,34.768399
76.339310,34.390481
75.961393,34.390481
75.583476,34.012564
75.205558,34.012564
74.827641,33.634647
74.449723,33.634647
74.071806,33.634647
73.693889,33.256729
73.315971,33.256729
72.938054,32.878812
72.560136,32.878812
72.182219,32.878812
71.804302,32.500894
71.426384,32.500894
71.048467,32.122977
70.670550,32.122977
70.292632,32.122977
69.914715,31.745060
69.536797,31.745060
69.158880,31.745060
68.780963,31.745060
68.403045,31.367142
68.025128,31.367142
67.647211,31.367142
67.269293,31.367142
66.891376,30.989225
66.513458,30.989225
66.135541,30.989225
65.757624,30.989225
65.379706,30.611308
65.001789,30.611308
64.623872,30.611308
64.245954,30.611308
63.868037,30.233390
63.490119,30.233390
63.112202,30.233390
62.734285,29.855473
62.356367,29.855473
61.978450,29.855473
61.600533,29.477555
61.222615,29.477555
60.844698,29.099638
60.466780,29.099638
60.088863,28.721721
59.710946,28.721721
59.333028,28.343803
58.955111,28.343803
58.577194,27.965886
58.199276,27.965886
57.821359,27.587969
57.443441,27.587969
57.065524,27.210051
56.687607,27.210051
56.309689,26.832134
55.931772,26.832134
55.553854,26.454216
55.175937,26.454216
54.798020,26.076299
54.420102,26.076299
54.042185,25.698382
53.664268,25.698382
53.286350,25.320464
52.908433,25.320464
52.530515,24.942547
52.152598,24.942547
51.774681,24.942547
51.396763,24.564630
51.018846,24.564630
50.640929,24.564630
50.263011,24.186712
49.885094,24.186712
49.507176,24.186712
49.129259,24.186712
48.751342,24.186712
48.373424,24.564630
47.995507,24.564630
47.617590,24.942547
47.239672,25.320464
47.239672,25.698382
47.239672,26.076299
47.239672,26.454216
47.239672,26.832134
47.617590,27.210051
47.617590,27.587969
47.617590,27.965886
47.617590,28.343803
47.995507,28.721721
47.995507,29.099638
48.373424,29.477555
48.373424,29.855473
48.373424,30.233390
48.751342,30.611308
48.751342,30.989225
48.751342,31.367142
48.751342,31.745060
49.129259,32.122977
49.129259,32.500894
49.129259,32.878812
49.507176,33.256729
49.507176,33.634647
49.507176,34.012564
49.507176,34.390481
49.507176,34.768399
49.885094,35.146316
49.885094,35.524233
49.885094,35.902151
49.885094,36.280068
49.885094,36.657986
49.885094,37.035903
49.885094,37.413820
49.885094,37.791738
49.885094,38.169655
49.885094,38.547573
49.507176,38.925490
49.507176,39.303407
49.507176,39.681325
49.507176,40.059242
49.507176,40.437159
49.507176,40.815077
49.507176,41.192994
49.507176,41.570912
49.129259,41.948829
49.129259,42.326746
49.129259,42.704664
49.129259,43.082581
49.129259,43.460498
49.129259,43.838416
49.129259,44.216333
48.751342,44.594251
48.751342,44.972168
48.373424,45.350085
48.373424,45.728003
47.995507,46.105920
47.617590,46.483837
47.617590,46.861755
47.239672,47.239672
47.239672,47.617590
46.861755,47.995507
46.861755,48.373424
46.483837,48.751342
46.483837,49.129259
46.105920,49.507176
46.105920,49.885094
46.105920,50.263011
46.105920,50.640929
46.105920,51.018846
45.728003,51.396763
45.728003,51.774681
45.728003,52.152598
45.728003,52.530515
45.728003,52.908433
45.728003,53.286350
46.105920,53.664268
46.105920,54.042185
46.105920,54.420102
46.105920,54.798020
46.105920,55.175937
46.483837,55.553854
46.483837,55.931772
46.483837,56.309689
46.483837,56.687607
46.483837,57.065524
46.483837,57.443441
46.483837,57.821359
46.483837,58.199276
46.483837,58.577194
46.483837,58.955111
46.105920,59.333028
46.105920,59.710946
46.105920,60.088863
46.105920,60.466780
45.728003,60.844698
45.728003,61.222615
45.728003,61.600533
45.728003,61.978450
45.350085,62.356367
45.350085,62.734285
45.350085,63.112202
44.972168,63.490119
44.972168,63.868037
44.972168,64.245954
44.594251,64.623872
44.594251,65.001789
44.594251,65.379706
44.216333,65.757624
44.216333,66.135541
44.216333,66.513458
44.216333,66.891376
43.838416,67.269293
43.838416,67.647211
43.838416,68.025128
43.838416,68.403045
43.838416,68.780963
43.838416,69.158880
43.838416,69.536797
43.838416,69.914715
43.460498,70.292632
43.460498,70.670550
43.460498,71.048467
43.460498,71.426384
43.460498,71.804302
43.082581,72.182219
43.082581,72.560136
43.082581,72.938054
43.082581,73.315971
43.082581,73.693889
42.704664,74.071806
42.704664,74.449723
42.704664,74.827641
42.704664,75.205558
42.704664,75.583476
42.326746,75.961393
42.326746,76.339310
42.326746,76.717228
41.948829,77.095145
41.948829,77.473062
41.948829,77.850980
41.948829,78.228897
41.948829,78.606815
41.570912,78.984732
41.570912,79.362649
41.570912,79.740567
41.570912,80.118484
41.192994,80.496401
41.192994,80.874319
41.192994,81.252236
41.192994,81.630154
41.192994,82.008071
40.815077,82.385988
40.815077,82.763906
40.815077,83.141823
40.437159,83.519740
40.059242,83.897658
39.681325,84.275575
39.303407,84.653493
39.303407,85.031410
39.303407,85.409327
38.925490,85.787245
38.925490,86.165162
38.925490,86.543079
38.925490,86.920997
38.925490,87.298914
38.925490,87.676832
38.547573,88.054749
38.547573,88.432666
38.547573,88.810584
38.547573,89.188501
38.547573,89.566418
38.547573,89.944336
38.925490,90.322253
38.925490,90.700171
38.925490,91.078088
38.925490,91.456005
38.925490,91.833923
38.547573,92.211840
38.547573,92.589757
38.547573,92.967675
38.169655,93.345592
38.169655,93.723510
38.169655,94.101427
37.791738,94.479344
37.791738,94.857262
37.791738,95.235179
37.791738,95.613097
37.791738,95.991014
37.791738,96.368931
37.791738,96.746849
37.413820,97.124766
37.413820,97.502683
37.413820,97.880601
37.035903,98.258518
37.035903,98.636436
36.657986,99.014353
36.657986,99.392270
36.657986,99.770188
36.280068,100.148105
36.280068,100.526022
36.280068,100.903940
36.280068,101.281857
35.902151,101.659775
35.902151,102.037692
35.902151,102.415609
35.902151,102.793527
35.902151,103.171444
35.902151,103.549361
35.902151,103.927279
35.902151,104.305196
35.902151,104.683114
35.902151,105.061031
35.902151,105.438948
36.280068,105.816866
36.280068,106.194783
36.280068,106.572700
36.280068,106.950618
36.280068,107.328535
36.657986,107.706453
36.657986,108.084370
36.657986,108.462287
36.657986,108.840205
36.657986,109.218122
36.657986,109.596039
36.657986,109.973957
36.657986,110.351874
36.657986,110.729792
36.657986,111.107709
36.657986,111.485626
36.280068,111.863544
35.902151,112.241461
35.524233,112.619378
35.524233,112.997296
35.146316,113.375213
35.146316,113.753131
34.768399,114.131048
34.768399,114.508965
34.390481,114.886883
34.390481,115.264800
34.390481,115.642718
34.390481,116.020635
34.390481,116.398552
34.390481,116.776470
34.390481,117.154387
34.768399,117.532304
34.768399,117.910222
35.146316,118.288139
35.146316,118.666057
35.524233,119.043974
35.524233,119.421891
35.524233,119.799809
35.524233,120.177726
35.524233,120.555643
35.524233,120.933561
35.524233,121.311478
35.524233,121.689396
35.524233,122.067313
35.524233,122.445230
35.524233,122.823148
35.524233,123.201065
35.524233,123.578982
35.902151,123.956900
35.902151,124.334817
36.280068,124.712735
36.657986,125.090652
37.035903,125.468569
37.413820,125.468569
37.791738,125.846487
38.169655,126.224404
38.547573,126.602321
38.547573,126.980239
38.547573,127.358156
38.547573,127.736074
38.547573,128.113991
38.547573,128.491908
38.547573,128.869826
38.547573,129.247743
38.547573,129.625660
38.547573,130.003578
38.169655,130.381495
38.169655,130.759413
38.169655,131.137330
38.169655,131.515247
38.169655,131.893165
38.169655,132.271082
38.169655,132.649000
38.547573,133.026917
38.547573,133.404834
38.925490,133.782752
39.303407,133.782752
39.681325,134.160669
40.059242,134.538586
40.437159,134.538586
40.815077,134.538586
41.192994,134.916504
41.570912,134.916504
41.948829,134.916504
42.326746,135.294421
42.704664,135.672339
42.704664,136.050256
42.704664,136.428173
42.704664,136.806091
42.326746,137.184008
42.326746,137.561925
42.326746,137.939843
42.326746,138.317760
41.948829,138.695678
41.570912,139.073595
41.570912,139.451512
41.192994,139.829430
41.192994,140.207347
41.192994,140.585264
41.192994,140.963182
40.815077,141.341099
41.192994,141.719017
41.192994,142.096934
41.570912,142.474851
41.948829,142.852769
42.326746,142.852769
42.704664,142.852769
43.082581,142.852769
43.460498,142.852769
43.838416,142.852769
44.216333,142.852769
44.594251,142.852769
44.972168,143.230686
45.350085,143.230686
45.728003,143.230686
46.105920,143.230686
46.483837,143.230686
46.861755,143.230686
47.239672,143.230686
47.617590,143.230686
47.995507,143.230686
48.373424,143.230686
48.751342,143.230686
49.129259,143.230686
49.507176,143.230686
49.885094,143.230686
50.263011,143.230686
50.640929,143.230686
51.018846,143.230686
51.396763,143.230686
51.774681,143.230686
52.152598,143.608603
52.530515,143.608603
52.908433,143.608603
53.286350,143.608603
53.664268,143.608603
54.042185,143.986521
54.420102,143.986521
54.798020,144.364438
55.175937,144.742356
55.553854,145.120273
55.931772,145.498190
56.309689,145.876108
56.687607,146.254025
57.065524,146.631942
57.443441,146.631942
57.821359,147.009860
58.199276,147.009860
58.577194,147.009860
58.955111,147.009860
